Chrom	Starts	Ends	genes
chr1	1692795	1692795	SLC35E2B
chr1	1671990	1671990	ENSG00000269737
chr1	1699942	1699942	MMP23A
chr1	1724357	1724357	CDK11A
chr1	1737688	1737688	ENSG00000268575
chr1	1724512	1724512	ENSG00000227775
chr1	1745992	1745992	ENSG00000215790
chr1	1780457	1780457	NADK
chr1	1891117	1891117	GNB1
chr1	1891471	1891471	GNB1-DT
chr1	1915108	1915108	CALML6
chr1	1919279	1919279	TMEM52
chr1	2003837	2003837	CFAP74
chr1	2015639	2015639	ENSG00000233542
chr1	2019329	2019329	GABRD
chr1	2050070	2050070	PRKCZ-DT
chr1	2050411	2050411	PRKCZ
chr1	2145279	2145279	ENSG00000271806
chr1	2184389	2184389	PRKCZ-AS1
chr1	2212720	2212720	FAAP20
chr1	2212523	2212523	ENSG00000234396
chr1	2228319	2228319	SKI
chr1	2315040	2315040	ENSG00000287356
chr1	2391707	2391707	MORN1
chr1	2326693	2326693	ENSG00000272161
chr1	2352820	2352820	LOC100129534
chr1	2363628	2363628	ENSG00000272420
chr1	2391775	2391775	RER1
chr1	2413797	2413797	PEX10
chr1	2425980	2425980	PLCH2
chr1	2493258	2493258	ENSG00000224387
chr1	2494479	2494479	ENSG00000229393
chr1	2526597	2526597	PANK4
chr1	2530263	2530263	HES5
chr1	2530064	2530064	ENSG00000272449
chr1	2557031	2557031	ENSG00000238164
chr1	2555639	2555639	TNFRSF14
chr1	2566410	2566410	ENSG00000225931
chr1	2581560	2581560	LOC100996583
chr1	2586491	2586491	PRXL2B
chr1	2633016	2633016	MMEL1
chr1	2632568	2632568	ENSG00000237058
chr1	2801717	2801717	TTC34
chr1	2768091	2768091	ENSG00000285945
chr1	2773603	2773603	ENSG00000283259
chr1	2812692	2812692	ENSG00000233234
chr1	2814056	2814056	LOC124903825
chr1	2814998	2814998	ENSG00000231630
chr1	2968707	2968707	ENSG00000284745
chr1	3021467	3021467	ACTRT2
chr1	3068437	3068437	PRDM16-DT
chr1	3069168	3069168	PRDM16
chr1	3127975	3127975	MIR4251
chr1	3133709	3133709	ENSG00000226286
chr1	3205988	3205988	ENSG00000279839
chr1	3310096	3310096	ENSG00000272235
chr1	3323149	3323149	ENSG00000287828
chr1	3373928	3373928	ENSG00000286518
chr1	3454665	3454665	ARHGEF16
chr1	3487246	3487246	ENSG00000272088
chr1	3611508	3611508	MEGF6
chr1	3560790	3560790	MIR551A
chr1	3624743	3624743	ENSG00000238260
chr1	3625015	3625015	TPRG1L
chr1	3652761	3652761	WRAP73
chr1	3652516	3652516	TP73
chr1	3668772	3668772	ENSG00000227589
chr1	3714298	3714298	ENSG00000235131
chr1	3747373	3747373	GFOD3P
chr1	3736943	3736943	ENSG00000276189
chr1	3746460	3746460	CCDC27
chr1	3772749	3772749	SMIM1
chr1	3796498	3796498	LRRC47
chr1	3782815	3782815	RN7SL574P
chr1	3785008	3785008	ENSG00000272153
chr1	3857396	3857396	CEP104
chr1	3857267	3857267	DFFB
chr1	3900293	3900293	C1orf174
chr1	3900352	3900352	LINC01134
chr1	3940486	3940486	ENSG00000233304
chr1	3949024	3949024	LINC01345
chr1	3976133	3976133	ENSG00000284668
chr1	4019508	4019508	ENSG00000284703
chr1	4175899	4175899	EEF1DP6
chr1	4412027	4412027	LINC01777
chr1	4484375	4484375	ENSG00000284694
chr1	4552145	4552145	ENSG00000227169
chr1	4571481	4571481	LINC01646
chr1	4654609	4654609	AJAP1
chr1	4734992	4734992	ENSG00000287586
chr1	4973298	4973298	ENSG00000284739
chr1	4973381	4973381	LINC02781
chr1	5090899	5090899	ENSG00000231510
chr1	5307394	5307394	ENSG00000284616
chr1	5493057	5493057	ENSG00000284692
chr1	5482028	5482028	ENSG00000284666
chr1	5492978	5492978	ENSG00000260972
chr1	5554747	5554747	ENSG00000283356
chr1	5668295	5668295	ENSG00000236948
chr1	5564071	5564071	ENSG00000264341
chr1	5862741	5862741	MIR4689
chr1	5992473	5992473	NPHP4
chr1	5990927	5990927	KCNAB2
chr1	6180321	6180321	CHD5
chr1	6197757	6197757	ENSG00000285629
chr1	6209389	6209389	RPL22
chr1	6205780	6205780	RNF207-AS1
chr1	6205475	6205475	RNF207
chr1	6235972	6235972	ICMT
chr1	6234692	6234692	ENSG00000225077
chr1	6244179	6244179	HES3
chr1	6261098	6261098	GPR153
chr1	6393767	6393767	ACOT7
chr1	6393555	6393555	ENSG00000271746
chr1	6424670	6424670	HES2
chr1	6424776	6424776	ESPN
chr1	6429896	6429896	MIR4252
chr1	6447006	6447006	ENSG00000231868
chr1	6466175	6466175	TNFRSF25
chr1	6520074	6520074	PLEKHG5
chr1	6554513	6554513	NOL9
chr1	6540854	6540854	RNU6-731P
chr1	6547905	6547905	ENSG00000229519
chr1	6555307	6555307	TAS1R1
chr1	6579994	6579994	ZBTB48
chr1	6614607	6614607	KLHL21
chr1	6613731	6613731	PHF13
chr1	6624866	6624866	THAP3
chr1	6701924	6701924	DNAJC11
chr1	6724637	6724637	ENSG00000228750
chr1	6767954	6767954	ENSG00000284744
chr1	6784843	6784843	ENSG00000237436
chr1	6785454	6785454	CAMTA1
chr1	6834618	6834618	RPL37P9
chr1	7014279	7014279	CAMTA1-AS3
chr1	7219360	7219360	RNU1-8P
chr1	7368942	7368942	ENSG00000237402
chr1	7389754	7389754	CAMTA1-AS2
chr1	7441554	7441554	ENSG00000225126
chr1	7694844	7694844	ENSG00000270171
chr1	7698872	7698872	ENSG00000270035
chr1	7700970	7700970	ENSG00000269978
chr1	7771296	7771296	VAMP3
chr1	7776383	7776383	ENSG00000269925
chr1	7784291	7784291	PER3
chr1	7827342	7827342	ENSG00000236266
chr1	7853512	7853512	UTS2
chr1	7943165	7943165	TNFRSF9
chr1	7942372	7942372	ENSG00000270330
chr1	7954291	7954291	PARK7
chr1	7982983	7982983	ENSG00000200344
chr1	7991134	7991134	ENSG00000284747
chr1	7999934	7999934	ENSG00000284716
chr1	8026309	8026309	ERRFI1
chr1	8026738	8026738	ENSG00000238290
chr1	8058463	8058463	ENSG00000232848
chr1	8189824	8189824	LOC100129776
chr1	8201518	8201518	LINC01714
chr1	8206597	8206597	RNU1-7P
chr1	8220529	8220529	ENSG00000233645
chr1	8292263	8292263	RNU6-991P
chr1	8318114	8318114	SLC45A1
chr1	8328067	8328067	ENSG00000252254
chr1	8848921	8848921	RERE
chr1	8424645	8424645	ENSG00000232912
chr1	8511919	8511919	LOC124900452
chr1	8512653	8512653	ENSG00000270282
chr1	8750430	8750430	RPL7P11
chr1	8786913	8786913	RPL7P7
chr1	8796673	8796673	ENSG00000222511
chr1	8798475	8798475	RPL27P3
chr1	8807051	8807051	ENSG00000228423
chr1	8831007	8831007	ENSG00000229716
chr1	8879190	8879190	ENO1
chr1	8866590	8866590	MIR6728
chr1	8878835	8878835	ENO1-AS1
chr1	8883533	8883533	RNU6-304P
chr1	8893409	8893409	ENSG00000238249
chr1	8907744	8907744	ENSG00000232208
chr1	8909742	8909742	ENSG00000232663
chr1	8945867	8945867	CA6
chr1	8979874	8979874	RN7SL451P
chr1	9026423	9026423	SLC2A7
chr1	9088478	9088478	SLC2A5
chr1	9082696	9082696	LOC124900441
chr1	9129102	9129102	GPR157
chr1	9198906	9198906	MIR34AHG
chr1	9151777	9151777	MIR34A
chr1	9182004	9182004	LNCTAM34A
chr1	9234774	9234774	H6PD
chr1	9292894	9292894	SPSB1
chr1	9422862	9422862	ENSG00000284652
chr1	9440564	9440564	LINC02606
chr1	9437778	9437778	RNA5SP40
chr1	9503471	9503471	ENSG00000235263
chr1	9539465	9539465	SLC25A33
chr1	9576427	9576427	RPL9P11
chr1	9588911	9588911	TMEM201
chr1	9651731	9651731	PIK3CD
chr1	9654586	9654586	PIK3CD-AS1
chr1	9662626	9662626	ENSG00000233268
chr1	9687555	9687555	PIK3CD-AS2
chr1	9823984	9823984	CLSTN1
chr1	9780822	9780822	ENSG00000271264
chr1	9828271	9828271	ENSG00000280113
chr1	9910336	9910336	CTNNBIP1
chr1	9848318	9848318	ENSG00000223989
chr1	9900614	9900614	ENSG00000285701
chr1	9943407	9943407	LZIC
chr1	9942923	9942923	ENSG00000228150
chr1	9943428	9943428	NMNAT1
chr1	9947318	9947318	ENSG00000202415
chr1	9960787	9960787	TMEM274P
chr1	9967381	9967381	MIR5697
chr1	9983141	9983141	ENSG00000241326
chr1	9997206	9997206	RBP7
chr1	10032832	10032832	UBE4B
chr1	10054781	10054781	RPL21P21
chr1	10058671	10058671	PGAM1P11
chr1	10163268	10163268	RNU6-828P
chr1	10210570	10210570	KIF1B
chr1	10227718	10227718	ENSG00000264881
chr1	10298966	10298966	RNU6-37P
chr1	10306465	10306465	RN7SL731P
chr1	10387150	10387150	ENSG00000284735
chr1	10395416	10395416	ENSG00000284642
chr1	10398592	10398592	PGD
chr1	10430677	10430677	ENSG00000271989
chr1	10430102	10430102	CENPS-CORT
chr1	10430433	10430433	CENPS
chr1	10450031	10450031	CORT
chr1	10472529	10472529	DFFA
chr1	10458555	10458555	ENSG00000203469
chr1	10472288	10472288	PEX14
chr1	10616452	10616452	ENSG00000287727
chr1	10616836	10616836	RN7SL614P
chr1	10796650	10796650	CASZ1
chr1	10639241	10639241	ENSG00000272078
chr1	10895761	10895761	HSPE1P24
chr1	10982037	10982037	C1orf127
chr1	10991797	10991797	ENSG00000215785
chr1	11012344	11012344	TARDBP
chr1	11047239	11047239	MASP2
chr1	11060020	11060020	SRM
chr1	11099869	11099869	EXOSC10
chr1	11068471	11068471	ENSG00000226849
chr1	11099675	11099675	EXOSC10-AS1
chr1	11262551	11262551	MTOR
chr1	11143898	11143898	MTOR-AS1
chr1	11152350	11152350	ENSG00000253086
chr1	11189355	11189355	ANGPTL7
chr1	11226254	11226254	RNU6-291P
chr1	11232963	11232963	ENSG00000238173
chr1	11273198	11273198	UBIAD1
chr1	11279351	11279351	ENSG00000238199
chr1	11319093	11319093	ENSG00000284646
chr1	11425821	11425821	MTCYBP45
chr1	11479155	11479155	DISP3
chr1	11502016	11502016	ENSG00000285833
chr1	11609468	11609468	LINC01647
chr1	11623558	11623558	ENSG00000284708
chr1	11655785	11655785	FBXO2
chr1	11654375	11654375	FBXO44
chr1	11664200	11664200	FBXO6
chr1	11691650	11691650	MAD2L2
chr1	11691710	11691710	DRAXIN
chr1	11736084	11736084	AGTRAP
chr1	11761787	11761787	C1orf167
chr1	11779619	11779619	C1orf167-AS1
chr1	11806455	11806455	MTHFR
chr1	11806096	11806096	CLCN6
chr1	11843812	11843812	ENSG00000276470
chr1	11845549	11845549	ENSG00000278852
chr1	11848345	11848345	NPPA
chr1	11847442	11847442	ENSG00000275915
chr1	11858945	11858945	NPPB
chr1	11877770	11877770	SBF1P2
chr1	11907940	11907940	ENSG00000285646
chr1	11908152	11908152	RNU5E-1
chr1	11909927	11909927	RNU5E-4P
chr1	11926428	11926428	KIAA2013
chr1	11934205	11934205	PLOD1
chr1	11980127	11980127	ENSG00000287384
chr1	11980181	11980181	MFN2
chr1	12017308	12017308	ENSG00000270914
chr1	12019466	12019466	MIIP
chr1	12024124	12024124	ENSG00000202461
chr1	12029158	12029158	MIR6729
chr1	12037014	12037014	RN7SL649P
chr1	12063303	12063303	TNFRSF8
chr1	12077984	12077984	RNU6-777P
chr1	12080547	12080547	RPL23AP89
chr1	12092264	12092264	ENSG00000285604
chr1	12166943	12166943	MIR7846
chr1	12166991	12166991	TNFRSF1B
chr1	12191713	12191713	MIR4632
chr1	12221109	12221109	RPL10P17
chr1	12221271	12221271	LOC124900427
chr1	12230030	12230030	VPS13D
chr1	12507246	12507246	SNORA59B
chr1	12527724	12527724	ENSG00000229484
chr1	12618210	12618210	DHRS3
chr1	12570072	12570072	RNU6ATAC18P
chr1	12579023	12579023	MIR6730
chr1	12619244	12619244	ENSG00000272482
chr1	12644085	12644085	AADACL4
chr1	12692909	12692909	ENSG00000226166
chr1	12716110	12716110	AADACL3
chr1	12746200	12746200	CFAP107
chr1	12773738	12773738	PRAMEF12
chr1	12791397	12791397	PRAMEF1
chr1	12823159	12823159	LINC01784
chr1	12831410	12831410	PRAMEF11
chr1	12841357	12841357	ENSG00000231103
chr1	12848720	12848720	HNRNPCL1
chr1	12857086	12857086	PRAMEF2
chr1	12886201	12886201	PRAMEF4
chr1	12898270	12898270	PRAMEF10
chr1	12916610	12916610	PRAMEF7
chr1	12922554	12922554	RNU6-1072P
chr1	12926162	12926162	ENSG00000234064
chr1	12947580	12947580	PRAMEF6
chr1	13029339	13029339	PRAMEF28P
chr1	13056575	13056575	PRAMEF27
chr1	13060769	13060769	HNRNPCL3
chr1	13068677	13068677	PRAMEF25
chr1	13097971	13097971	ENSG00000277862
chr1	13105689	13105689	PRAMEF35P
chr1	13116854	13116854	HNRNPCL2
chr1	13128818	13128818	ENSG00000229978
chr1	13147460	13147460	ENSG00000233336
chr1	13155961	13155961	PRAMEF26
chr1	13165631	13165631	HNRNPCL4
chr1	13171848	13171848	PRAMEF9
chr1	13201409	13201409	PRAMEF13
chr1	13226106	13226106	PRAMEF18
chr1	13245863	13245863	PRAMEF31P
chr1	13254212	13254212	PRAMEF5
chr1	13275627	13275627	ENSG00000231219
chr1	13279231	13279231	RNU6-771P
chr1	13285174	13285174	PRAMEF8
chr1	13303539	13303539	PRAMEF33
chr1	13315581	13315581	PRAMEF15
chr1	13324039	13324039	ENSG00000228229
chr1	13347134	13347134	PRAMEF14
chr1	13371900	13371900	PRAMEF19
chr1	13389632	13389632	PRAMEF17
chr1	13416351	13416351	PRAMEF20
chr1	13514003	13514003	LRRC38
chr1	13513220	13513220	LOC107984918
chr1	13555001	13555001	ENSG00000215909
chr1	13583465	13583465	PDPN
chr1	13623284	13623284	RNA5SP41
chr1	13659910	13659910	ENSG00000237445
chr1	13696199	13696199	LOC124900446
chr1	13700198	13700198	PRDM2
chr1	13892792	13892792	KAZN
chr1	14124335	14124335	RNU6-1265P
chr1	14304445	14304445	ENSG00000231606
chr1	14419973	14419973	KAZN-AS1
chr1	14692613	14692613	ENSG00000235829
chr1	14777727	14777727	ENSG00000287756
chr1	15153618	15153618	TMEM51-AS1
chr1	15152532	15152532	TMEM51
chr1	15171317	15171317	TMEM51-AS2
chr1	15192845	15192845	ENSG00000215720
chr1	15226373	15226373	ENSG00000278480
chr1	15236521	15236521	FHAD1
chr1	15343876	15343876	FHAD1-AS1
chr1	15335464	15335464	ENSG00000236045
chr1	15409433	15409433	EFHD2-AS1
chr1	15409888	15409888	EFHD2
chr1	15438442	15438442	CTRC
chr1	15456728	15456728	CELA2A
chr1	15465909	15465909	CELA2B
chr1	15526534	15526534	CASP9
chr1	15526813	15526813	DNAJC16
chr1	15542165	15542165	SCARNA21B
chr1	15565956	15565956	ENSG00000272510
chr1	15585051	15585051	AGMAT
chr1	15603626	15603626	ENSG00000237301
chr1	15604597	15604597	ENSG00000235084
chr1	15608145	15608145	RNU7-179P
chr1	15614867	15614867	ENSG00000236500
chr1	15617458	15617458	DDI2
chr1	15659869	15659869	RSC1A1
chr1	15683128	15683128	ENSG00000271742
chr1	15684320	15684320	PLEKHM2
chr1	15736896	15736896	ENSG00000237938
chr1	15736258	15736258	SLC25A34
chr1	15749896	15749896	SLC25A34-AS1
chr1	15742499	15742499	TMEM82
chr1	15756607	15756607	FBLIM1
chr1	15792796	15792796	ENSG00000224321
chr1	15809348	15809348	UQCRHL
chr1	15828232	15828232	RPS16P1
chr1	15848147	15848147	SPEN-AS1
chr1	15836095	15836095	SPEN
chr1	15917908	15917908	ENSG00000270620
chr1	15976132	15976132	ZBTB17
chr1	15969632	15969632	ENSG00000234607
chr1	15988182	15988182	ENSG00000231353
chr1	15989375	15989375	ENSG00000275503
chr1	15989871	15989871	ENSG00000224966
chr1	16004236	16004236	SRARP
chr1	16006671	16006671	ENSG00000233078
chr1	16019594	16019594	HSPB7
chr1	16018875	16018875	CLCNKA
chr1	16040029	16040029	FAM131C2P
chr1	16040252	16040252	CLCNKB
chr1	16073651	16073651	FAM131C
chr1	16156069	16156069	EPHA2
chr1	16155211	16155211	ENSG00000227959
chr1	16159266	16159266	ENSG00000224621
chr1	16197854	16197854	ENSG00000234166
chr1	16212652	16212652	ARHGEF19
chr1	16228027	16228027	ENSG00000237276
chr1	16231335	16231335	ENSG00000288398
chr1	16237183	16237183	CPLANE2
chr1	16241398	16241398	ENSG00000233929
chr1	16352480	16352480	FBXO42
chr1	16352575	16352575	SZRD1
chr1	16369530	16369530	RPL22P3
chr1	16437424	16437424	SPATA21
chr1	16440721	16440721	NECAP2
chr1	16460948	16460948	LINC01772
chr1	16499257	16499257	CROCCP3
chr1	16514285	16514285	RNU1-1
chr1	16514645	16514645	ENSG00000261135
chr1	16515034	16515034	ENSG00000285853
chr1	16520694	16520694	ENSG00000224174
chr1	16535649	16535649	LINC01783
chr1	16534224	16534224	RNU1-6P
chr1	16552531	16552531	ENSG00000225710
chr1	16613562	16613562	NBPF1
chr1	16617391	16617391	ENSG00000271732
chr1	16657232	16657232	ENSG00000215908
chr1	16643109	16643109	ENSG00000283773
chr1	16645622	16645622	ENSG00000186301
chr1	16656879	16656879	ENSG00000282143
chr1	16666948	16666948	RNU1-3
chr1	16688749	16688749	ENSG00000280114
chr1	16686055	16686055	ENSG00000236698
chr1	16720157	16720157	ENSG00000268869
chr1	16701546	16701546	ENSG00000279151
chr1	16750589	16750589	ENSG00000282740
chr1	16740273	16740273	CROCC
chr1	16740280	16740280	CROCCP4
chr1	16740516	16740516	RNU1-4
chr1	16770237	16770237	MST1L
chr1	16853129	16853129	ENSG00000223643
chr1	16855407	16855407	ENSG00000230239
chr1	16859021	16859021	MIR3675
chr1	16870945	16870945	LOC112267871
chr1	16873708	16873708	RNU1-5P
chr1	16889706	16889706	LOC105376805
chr1	16889095	16889095	LOC107985101
chr1	16895980	16895980	RNU1-2
chr1	16904776	16904776	ENSG00000272426
chr1	16980632	16980632	MFAP2
chr1	16976302	16976302	ENSG00000286898
chr1	16978926	16978926	ENSG00000226526
chr1	17011928	17011928	ATP13A2
chr1	17011757	17011757	ENSG00000288636
chr1	17054032	17054032	SDHB
chr1	17119451	17119451	PADI2
chr1	17189783	17189783	LINC02783
chr1	17201733	17201733	ENSG00000282843
chr1	17205128	17205128	PADI1
chr1	17249098	17249098	PADI3
chr1	17277889	17277889	MIR3972
chr1	17308195	17308195	PADI4
chr1	17372196	17372196	PADI6
chr1	17406760	17406760	RCC2-AS1
chr1	17439677	17439677	RCC2
chr1	17539698	17539698	ARHGEF10L
chr1	17717625	17717625	LINC02810
chr1	17755333	17755333	ACTL8
chr1	18015712	18015712	ENSG00000284653
chr1	18065657	18065657	LINC01654
chr1	18107798	18107798	IGSF21
chr1	18109389	18109389	ENSG00000280222
chr1	18179346	18179346	ENSG00000230035
chr1	18385829	18385829	ENSG00000225387
chr1	18480930	18480930	KLHDC7A
chr1	18513118	18513118	ENSG00000235282
chr1	18595414	18595414	ENSG00000225478
chr1	18630846	18630846	PAX7
chr1	18859682	18859682	TAS1R2
chr1	18902724	18902724	ALDH4A1
chr1	18883275	18883275	MIR4695
chr1	18897148	18897148	MIR1290
chr1	18956676	18956676	IFFO2
chr1	19075511	19075511	ENSG00000272084
chr1	19210266	19210266	UBR4
chr1	19210501	19210501	EMC1-AS1
chr1	19251527	19251527	EMC1
chr1	19251805	19251805	MRTO4
chr1	19262307	19262307	ENSG00000286064
chr1	19274194	19274194	AKR7L
chr1	19288770	19288770	AKR7A3
chr1	19297080	19297080	ENSG00000270728
chr1	19312144	19312144	AKR7A2
chr1	19305182	19305182	RNU6-1099P
chr1	19312326	19312326	SLC66A1
chr1	19485539	19485539	CAPZB
chr1	19424384	19424384	ENSG00000240490
chr1	19484403	19484403	MICOS10
chr1	19510593	19510593	RNU4-28P
chr1	19596832	19596832	MICOS10-DT
chr1	19596979	19596979	NBL1
chr1	19597067	19597067	ENSG00000270136
chr1	19608114	19608114	ENSG00000226396
chr1	19664875	19664875	HTR6
chr1	19799945	19799945	TMCO4
chr1	19815283	19815283	RNF186
chr1	19814367	19814367	ENSG00000235434
chr1	19882395	19882395	OTUD3
chr1	19923617	19923617	PLA2G2E
chr1	19970969	19970969	RN7SL304P
chr1	19980416	19980416	PLA2G2A
chr1	20028179	20028179	PLA2G5
chr1	20119566	20119566	PLA2G2D
chr1	20139323	20139323	PLA2G2F
chr1	20154171	20154171	LOC117779438
chr1	20186518	20186518	PLA2G2C
chr1	20186096	20186096	UBXN10
chr1	20243095	20243095	LINC01757
chr1	20272018	20272018	ENSG00000284710
chr1	20290875	20290875	VWA5B1
chr1	20323187	20323187	ENSG00000226664
chr1	20431234	20431234	ENSG00000236963
chr1	20413253	20413253	ENSG00000226487
chr1	20476222	20476222	LOC124903871
chr1	20480397	20480397	ENSG00000284743
chr1	20486210	20486210	CAMK2N1
chr1	20508151	20508151	MUL1
chr1	20525989	20525989	RPS4XP4
chr1	20552573	20552573	FAM43B
chr1	20589086	20589086	CDA
chr1	20633458	20633458	PINK1
chr1	20633679	20633679	MIR6084
chr1	20652193	20652193	PINK1-AS
chr1	20661544	20661544	DDOST
chr1	20718017	20718017	KIF17
chr1	20694013	20694013	ENSG00000235432
chr1	20732837	20732837	SH2D5
chr1	20732880	20732880	ENSG00000233069
chr1	20787323	20787323	HP1BP3
chr1	21176888	21176888	EIF4G3
chr1	20841241	20841241	RNU7-200P
chr1	20988432	20988432	MIR1256
chr1	21003934	21003934	RPS15AP6
chr1	21073753	21073753	ENSG00000236073
chr1	21161475	21161475	HSPE1P27
chr1	21177054	21177054	ENSG00000287192
chr1	21345572	21345572	ECE1
chr1	21266082	21266082	ENSG00000236936
chr1	21293290	21293290	ECE1-AS1
chr1	21397987	21397987	ENSG00000236216
chr1	21413293	21413293	ENSG00000228823
chr1	21415898	21415898	ENSG00000236009
chr1	21427967	21427967	ENSG00000227001
chr1	21428303	21428303	ENSG00000187952
chr1	21434318	21434318	ENSG00000186543
chr1	21440128	21440128	NBPF3
chr1	21460082	21460082	ENSG00000176378
chr1	21509397	21509397	ALPL
chr1	21586472	21586472	LINC02596
chr1	21669363	21669363	RAP1GAP
chr1	21783606	21783606	USP48
chr1	21768269	21768269	ENSG00000231978
chr1	21812265	21812265	LDLRAD2
chr1	21937310	21937310	HSPG2
chr1	21908098	21908098	RPL21P29
chr1	21956871	21956871	ENSG00000283234
chr1	21977022	21977022	CELA3B
chr1	21983606	21983606	ENSG00000285959
chr1	21987481	21987481	RN7SL386P
chr1	21987816	21987816	RNU6-1022P
chr1	22001657	22001657	CELA3A
chr1	22010650	22010650	RN7SL186P
chr1	22010985	22010985	RNU6-776P
chr1	22026048	22026048	LINC01635
chr1	22024558	22024558	LINC00339
chr1	22025511	22025511	CDC42
chr1	22052927	22052927	ENSG00000285752
chr1	22030527	22030527	ENSG00000285794
chr1	22059197	22059197	ENSG00000230068
